"General Information","General Information"
"Region Code","Region Code"
"Default Name","Default Name"
"Country","Country"
"Labels","Labels"
"Add New","Add New"
"You deleted the region.","You deleted the region."
"We can\'t delete the region right now. Please review the log and try again.","We can\'t delete the region right now. Please review the log and try again."
"Regions","Regions"
"New Region","New Region"
"Geographic","Geographic"
"Edit Region","Edit Region"
"Please correct the regions you requested.","Please correct the regions you requested."
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We can\'t delete these regions right now. Please review the log and try again.","We can\'t delete these regions right now. Please review the log and try again."
"You saved the region.","You saved the region."
"We can\'t save the region right now.","We can\'t save the region right now."
"Please correct the region you requested.","Please correct the region you requested."
